"school_id";"gender";"immigration";"language";"hisced";"grade_rep";"fear_failure";"belonging";"bullied";"home_poss";"cult_poss";"edu_resources";"family_wealth";"ESCS_status";"teacher_support";"emo_sup";"learn_time_math";"learn_time_read";"learn_time_scie";"math";"read";"scie";"stud_teach_ratio";"short_edu_mat";"short_edu_staff";"stu_behav";"teach_behav";"teach_multicult"
75200001;0;1;0;6;0;-0.9823;0.3299;-0.7823;-1.2584;-0.0465;-0.5492;-1.8461;-0.0614;1.314;0.5029;240;240;180;554.299;543.885;584.051;12.175;-1.4212;0.7348;-1.5397;-2.0409;-1.5182
75200001;0;2;3;6;0;-1.1858;-3.2367;-0.7823;0.2941;0.2363;1.1793;0.3933;0.9332;-1.1481;0.2169;240;240;120;510.997;446.596;478.584;12.175;-1.4212;0.7348;-1.5397;-2.0409;-1.5182
75200001;0;3;2;6;0;-0.3799;-0.1769;-0.7823;0.8397;0.9716;0.7604;0.467;1.3967;1.314;1.0346;280;280;210;579.668;448.396;576.141;12.175;-1.4212;0.7348;-1.5397;-2.0409;-1.5182
75200001;0;2;2;6;0;-0.3799;-0.3184;0.2907;-0.1943;-1.8427;-0.4396;0.5028;-0.2233;-0.3673;-1.3939;240;240;180;529.885;477;493.724;12.175;-1.4212;0.7348;-1.5397;-2.0409;-1.5182
75200001;1;1;0;6;0;-0.687;-1.0499;0.2907;0.4951;0.8508;1.1793;-0.1564;0.8698;1.314;0.6364;240;180;180;603.5;613.717;643.695;12.175;-1.4212;0.7348;-1.5397;-2.0409;-1.5182
75200001;0;2;0;6;0;0.4637;-0.4509;-0.7823;0.2092;-1.2382;0.0477;0.7104;0.2654;1.314;-0.6576;280;280;140;470.301;516.816;499.366;12.175;-1.4212;0.7348;-1.5397;-2.0409;-1.5182
75200001;0;1;0;5;0;0.4637;-0.3184;-0.7823;1.4156;1.0089;1.1793;1.7574;1.1471;-0.2023;1.0346;260;260;195;427.343;480.47;450.936;12.175;-1.4212;0.7348;-1.5397;-2.0409;-1.5182
75200001;1;1;0;5;0;0.052;-0.3184;0.1462;-0.0805;0.2206;-0.9779;0.0778;0.6677;1.314;-0.6576;180;240;120;564.181;551.362;626.202;12.175;-1.4212;0.7348;-1.5397;-2.0409;-1.5182
75200001;1;1;0;6;0;0.4637;2.7249;0.2308;0.2825;-1.2382;1.1793;0.84;0.9081;1.314;1.0346;480;360;240;462.101;539.047;509.915;12.175;-1.4212;0.7348;-1.5397;-2.0409;-1.5182
75200001;1;3;3;6;0;-0.7592;0.3241;-0.7823;2.9537;1.6414;1.1793;2.2819;2.1621;1.314;-0.6576;240;240;180;551.56;569.63;654.781;12.175;-1.4212;0.7348;-1.5397;-2.0409;-1.5182
75200001;0;2;2;6;0;1.8905;-1.0802;2.896;0.1816;0.0983;-0.5813;0.4404;-0.8348;1.314;-1.3939;300;300;150;436.287;459.99;377.953;12.175;-1.4212;0.7348;-1.5397;-2.0409;-1.5182
75200001;1;1;0;6;0;0.1097;-0.5582;0.7294;0.8042;-0.1364;1.1793;0.7072;1.149;1.314;-1.5824;260;260;195;549.386;485.352;595.639;12.175;-1.4212;0.7348;-1.5397;-2.0409;-1.5182
75200001;0;3;2;6;0;0.4637;-1.866;-0.7823;0.4857;0.6472;1.1793;0.2533;1.0143;-0.7857;1.0346;260;260;195;392.861;493.682;447.959;12.175;-1.4212;0.7348;-1.5397;-2.0409;-1.5182
75200001;1;1;0;6;0;0.4637;2.7249;0.2308;0.1379;0.8129;-1.0193;0.3747;-0.0831;-0.6262;-1.5824;480;480;480;421.036;322.687;411.606;12.175;-1.4212;0.7348;-1.5397;-2.0409;-1.5182
75200001;0;1;0;4;0;0.8207;0.0672;-0.7823;0.9352;-0.1364;1.1793;1.1265;0.504;1.314;1.0346;300;300;150;681.393;718.7;756.964;12.175;-1.4212;0.7348;-1.5397;-2.0409;-1.5182
75200001;0;1;0;4;0;-0.13;-0.4509;0.2907;1.2721;0.4551;1.1793;1.1265;0.6465;0.7628;1.0346;260;260;130;633.723;639.846;664.339;12.175;-1.4212;0.7348;-1.5397;-2.0409;-1.5182
75200001;0;1;0;4;0;1.1422;-0.6541;-0.7823;0.3509;0.7212;0.6763;0.0105;0.2188;0.7628;1.0346;240;240;180;527.363;531.27;502.492;12.175;-1.4212;0.7348;-1.5397;-2.0409;-1.5182
75200001;1;3;0;6;0;0.4637;0.1971;-0.7823;2.6726;1.3363;1.1793;2.17;1.7777;1.314;-0.6576;240;240;180;531.483;494.511;419.617;12.175;-1.4212;0.7348;-1.5397;-2.0409;-1.5182
75200001;0;3;0;6;0;0.4637;-0.3184;0.2907;-0.0572;-0.4983;0.0477;0.6373;0.8973;1.314;1.0346;350;280;210;402.695;534.726;493.353;12.175;-1.4212;0.7348;-1.5397;-2.0409;-1.5182
75200001;0;1;0;6;0;-0.687;-0.0633;-0.7823;0.2547;0.1926;1.1793;-0.1829;0.8098;1.314;1.0346;280;210;210;492.565;468.685;488.117;12.175;-1.4212;0.7348;-1.5397;-2.0409;-1.5182
75200001;0;1;0;5;0;1.8905;-0.3184;0.2907;1.6953;0.8129;0.0477;2.2443;0.9149;-0.2023;1.0346;280;280;280;623.026;690.145;673.03;12.175;-1.4212;0.7348;-1.5397;-2.0409;-1.5182
75200002;1;1;0;6;0;-1.8939;2.7249;-0.7823;-0.7908;1.0089;1.1793;-2.5956;0.2574;1.314;1.0346;315;315;315;533.422;459.647;510.166;14.9231;0.4698;0.8179;-1.5397;-0.1662;0.4113
75200002;0;1;0;6;0;0.052;0.2243;0.1462;1.0416;0.6472;-0.6853;1.3048;1.2628;-0.2023;-1.3914;180;180;180;644.359;635.588;650.118;14.9231;0.4698;0.8179;-1.5397;-0.1662;0.4113
75200002;1;1;0;5;0;0.4637;-0.3184;-0.7823;1.6504;1.1527;1.1793;1.5084;1.2175;-0.2023;-0.6576;180;180;180;510.46;519.654;467.63;14.9231;0.4698;0.8179;-1.5397;-0.1662;0.4113
75200002;0;1;0;5;0;-1.2319;0.7274;-0.7823;0.3555;0.1926;-0.4903;0.7719;0.9439;0.385;1.0346;180;180;180;582.717;516.459;556.333;14.9231;0.4698;0.8179;-1.5397;-0.1662;0.4113
75200002;0;1;0;6;0;-0.4342;1.4683;-0.7823;1.6109;1.3363;1.1793;1.0494;1.5661;1.314;0.5029;180;180;180;544.326;646.569;560.5;14.9231;0.4698;0.8179;-1.5397;-0.1662;0.4113
75200002;1;1;0;6;0;-0.687;0.0638;-0.7823;0.6632;0.0528;-0.6853;1.5314;1.0545;1.314;1.0346;195;195;195;640.272;619.041;658.782;14.9231;0.4698;0.8179;-1.5397;-0.1662;0.4113
75200002;1;1;0;6;0;1.8905;-0.8632;-0.7823;-0.1136;0.403;-0.4903;-0.6029;0.8475;-0.2023;0.2127;180;180;180;583.813;557.949;475.051;14.9231;0.4698;0.8179;-1.5397;-0.1662;0.4113
75200002;1;1;0;6;0;0.1097;2.7249;-0.7823;0.997;0.7639;-1.0118;0.9036;1.1135;-1.4252;-0.9122;165;165;165;567.435;525.311;640.062;14.9231;0.4698;0.8179;-1.5397;-0.1662;0.4113
75200002;0;1;0;6;0;0.4637;-0.8223;-0.7823;-0.3761;0.0528;-1.0601;-0.3445;0.5011;-0.3158;1.0346;180;180;180;496.563;556.887;581.482;14.9231;0.4698;0.8179;-1.5397;-0.1662;0.4113
75200002;1;1;0;6;0;-0.4342;0.705;-0.7823;2.4471;1.3363;1.1793;2.767;2.6232;1.314;1.0346;195;195;195;509.519;469.67;518.745;14.9231;0.4698;0.8179;-1.5397;-0.1662;0.4113
75200002;0;1;0;6;0;1.3423;-1.3472;0.1462;0.8144;0.1926;-0.4396;1.5314;1.2469;0.1924;1.0346;180;180;180;609.753;673.61;630.578;14.9231;0.4698;0.8179;-1.5397;-0.1662;0.4113
75200002;1;1;0;5;0;-0.3799;1.4685;-0.7823;1.0904;0.9334;1.1793;0.6713;1.0108;0.4394;-0.6576;180;180;180;516.648;520.878;495.984;14.9231;0.4698;0.8179;-1.5397;-0.1662;0.4113
75200002;1;1;0;6;0;0.8794;0.5251;-0.7823;1.2527;1.6414;-0.1357;0.6038;1.4008;0.4394;0.5029;180;180;180;603.553;587.832;597.591;14.9231;0.4698;0.8179;-1.5397;-0.1662;0.4113
75200002;0;1;0;6;0;0.5949;2.7249;-0.7823;1.7559;1.6414;1.1793;1.0494;1.633;0.4394;0.6402;210;210;210;606.903;616.589;592.328;14.9231;0.4698;0.8179;-1.5397;-0.1662;0.4113
75200002;1;1;0;6;0;0.4637;0.3018;0.8615;1.0306;0.3269;0.1806;1.1598;1.21;1.314;-0.6576;180;180;180;637.918;597.447;622.966;14.9231;0.4698;0.8179;-1.5397;-0.1662;0.4113
75200002;0;1;0;6;0;0.4637;-3.2367;-0.7823;1.0589;1.0089;-0.3792;0.9694;1.2366;1.314;1.0346;180;180;180;476.125;476.94;477.842;14.9231;0.4698;0.8179;-1.5397;-0.1662;0.4113
75200002;0;1;0;6;0;1.8905;-0.8423;-0.7823;1.0253;0.5278;-0.4396;1.7574;1.2237;1.314;0.5029;210;210;210;581.743;620.178;635.114;14.9231;0.4698;0.8179;-1.5397;-0.1662;0.4113
75200002;0;1;0;5;0;1.8905;-1.186;0.1462;1.5085;1.3363;1.1793;0.9278;1.2097;-0.2023;1.0346;180;180;180;587.966;702.394;616.244;14.9231;0.4698;0.8179;-1.5397;-0.1662;0.4113
75200002;1;1;0;6;0;-0.687;1.4326;-0.7823;0.4254;-0.0027;-0.6853;0.6417;1.2263;-0.0037;1.0346;165;165;165;589.849;699.954;644.605;14.9231;0.4698;0.8179;-1.5397;-0.1662;0.4113
75200002;0;1;0;6;0;0.4637;-0.3442;0.2907;1.7321;1.1527;1.1793;1.5465;0.3847;0.385;1.0346;240;180;180;481.115;546.54;533.214;14.9231;0.4698;0.8179;-1.5397;-0.1662;0.4113
75200002;0;1;0;6;0;1.3423;2.7474;-0.7823;1.8133;1.3363;1.1793;1.0029;1.3595;1.314;1.0346;150;150;150;561.527;631.699;583.632;14.9231;0.4698;0.8179;-1.5397;-0.1662;0.4113
75200002;0;1;0;6;0;0.9606;2.7249;-0.7823;3.0689;1.6414;1.1793;2.3611;1.9903;1.314;1.0346;180;180;180;649.838;621.626;632.736;14.9231;0.4698;0.8179;-1.5397;-0.1662;0.4113
75200002;0;1;2;6;0;1.8905;-0.0553;0.7703;-0.1777;-1.2382;-0.8947;0.7311;-0.2294;-0.9734;-0.6576;300;225;300;373.463;416.472;348.07;14.9231;0.4698;0.8179;-1.5397;-0.1662;0.4113
75200002;0;1;0;6;0;1.0944;-0.0358;-0.7823;1.463;1.0651;0.0477;1.1974;1.0389;-0.5973;-0.6439;180;180;180;669.381;640.433;673.215;14.9231;0.4698;0.8179;-1.5397;-0.1662;0.4113
75200002;1;1;0;6;0;0.052;0.6818;0.2907;1.3518;1.1527;-0.4903;1.9264;1.6134;1.314;0.5029;180;180;180;612.122;637.727;652.055;14.9231;0.4698;0.8179;-1.5397;-0.1662;0.4113
75200002;1;1;0;6;0;-0.4342;2.7249;-0.7823;2.8744;1.6414;1.1793;2.6524;2.2578;1.314;1.0346;180;180;180;604.805;684.196;675.685;14.9231;0.4698;0.8179;-1.5397;-0.1662;0.4113
75200002;1;1;0;6;0;1.0944;-1.2147;-0.7823;0.9179;1.1527;-0.4396;0.6035;1.1783;0.3485;-1.3939;240;240;180;613.412;605.705;618.994;14.9231;0.4698;0.8179;-1.5397;-0.1662;0.4113
75200002;1;1;0;4;0;-1.8939;0.6818;0.2907;-0.7154;-0.7441;-0.8243;-0.2973;-0.2325;-0.0439;-0.6576;180;180;180;611.332;643.211;590.893;14.9231;0.4698;0.8179;-1.5397;-0.1662;0.4113
75200002;1;1;0;6;0;1.1422;-0.0845;0.2907;1.3494;1.1527;1.1793;1.1506;1.4249;-0.5074;1.0346;180;180;180;585.023;534.8;531.463;14.9231;0.4698;0.8179;-1.5397;-0.1662;0.4113
75200002;1;1;0;6;0;1.1911;0.1554;0.8615;-0.4524;-0.303;-0.4396;-0.8061;0.4063;-0.2023;1.0346;180;180;180;599.951;619.399;649.868;14.9231;0.4698;0.8179;-1.5397;-0.1662;0.4113
75200002;1;1;0;5;0;0.4637;-0.3184;-0.7823;0.4284;1.1527;0.0477;-0.0235;0.47;0.2485;0.3622;140;140;140;576.764;585.519;555.881;14.9231;0.4698;0.8179;-1.5397;-0.1662;0.4113
75200002;1;1;0;5;0;0.4637;0.3018;0.1462;1.5507;1.6414;1.1793;0.9362;1.3114;1.314;-1.8598;260;195;195;516.408;595.777;599.029;14.9231;0.4698;0.8179;-1.5397;-0.1662;0.4113
75200002;1;1;0;6;0;-0.687;2.7249;1.5436;1.9714;1.6414;1.1793;1.3318;1.7049;-0.2023;1.0346;210;210;140;617.619;516.443;592.598;14.9231;0.4698;0.8179;-1.5397;-0.1662;0.4113
75200003;1;2;3;0;0;-1.4242;0.6818;-0.7823;-0.3464;-1.8427;-0.4396;0.463;-2.3476;-0.2023;0.2127;220;165;165;567.628;562.75;523.533;13.8182;1.2478;0.43;0.6482;0.2266;-0.9058
75200003;0;1;0;6;0;0.052;-0.3102;1.5082;1.3765;1.6414;1.1793;0.3942;1.5612;0.1597;1.0346;240;240;180;678.663;719.128;747.478;13.8182;1.2478;0.43;0.6482;0.2266;-0.9058
75200003;0;1;0;6;0;0.1097;-0.6693;-0.7823;-0.3942;-0.4983;-1.2622;0.5359;0.4934;-0.1169;0.0224;180;120;120;529.154;585.338;565.653;13.8182;1.2478;0.43;0.6482;0.2266;-0.9058
75200003;0;1;0;6;0;1.8905;0.5301;-0.7823;1.35;0.403;1.1793;3.3809;0.9808;-1.0692;-1.3914;180;180;120;453.602;461.154;446.39;13.8182;1.2478;0.43;0.6482;0.2266;-0.9058
75200003;0;1;0;6;0;0.4637;0.4909;-0.7823;0.9245;0.4551;0.0477;0.9213;0.767;0.7628;1.0346;240;240;120;466.992;517.284;521.006;13.8182;1.2478;0.43;0.6482;0.2266;-0.9058
75200003;0;1;0;6;0;-0.9295;0.3018;-0.7823;-0.265;0.403;1.1793;-0.6422;-0.2532;1.314;1.0346;200;200;100;500.986;506.513;508.554;13.8182;1.2478;0.43;0.6482;0.2266;-0.9058
75200003;0;1;3;6;0;1.8905;-1.395;-0.7823;0.3582;0.403;-0.6097;0.7689;0.6227;1.314;1.0346;150;200;250;457.875;447.585;443.45;13.8182;1.2478;0.43;0.6482;0.2266;-0.9058
75200003;1;1;0;1;0;-0.687;-0.0845;-0.7823;-0.5481;-0.7441;-0.8243;0.1533;-1.8406;-1.1481;-0.6576;210;210;210;396.54;396.915;418.608;13.8182;1.2478;0.43;0.6482;0.2266;-0.9058
75200003;0;3;3;6;0;0.4637;-1.2532;1.5346;-0.2108;-1.2382;0.1806;0.4017;-0.3379;1.314;-0.6576;240;240;180;413.79;418.282;466.155;13.8182;1.2478;0.43;0.6482;0.2266;-0.9058
75200003;1;1;0;6;0;-0.687;1.4685;-0.7823;0.4583;0.6472;1.1793;0.2046;0.8542;-0.2023;-0.6576;110;165;165;481.095;473.111;472.806;13.8182;1.2478;0.43;0.6482;0.2266;-0.9058
75200003;0;1;2;6;0;1.1422;0.9683;-0.7823;-0.3533;-0.4983;-0.8243;0.2141;0.1574;-0.2023;1.0346;180;180;120;490.948;521.823;526.746;13.8182;1.2478;0.43;0.6482;0.2266;-0.9058
75200003;1;1;0;6;0;-5e-04;2.7249;0.2907;0.7197;1.3363;1.1793;-0.0474;1.0374;0.2048;1.0346;120;180;180;571.905;519.574;629.601;13.8182;1.2478;0.43;0.6482;0.2266;-0.9058
75200003;0;2;2;2;0;-0.687;-0.9879;-0.7823;0.7884;0.2363;-0.6853;1.5335;-0.9257;-1.1481;-0.6576;120;60;180;348.065;363.974;392.876;13.8182;1.2478;0.43;0.6482;0.2266;-0.9058
75200003;0;1;0;4;0;1.8905;-0.5665;-0.7823;-0.4272;-0.4983;-0.8947;0.0119;-0.1763;0.7015;0.2127;150;150;100;466.282;529.184;458.814;13.8182;1.2478;0.43;0.6482;0.2266;-0.9058
